TIME;TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
GEO (Codes);GEO (Labels);;;;;;;;;;;;;;;;;;;;;;;;
CZ010;Hlavní město Praha;15 172,51;17 419,4;21 005,43;21 748,75;23 859,75;27 790,42;31 427,99;36 242,19;42 639,12;39 268,73;42 712,99;42 999,47;42 300,9;41 777,87;41 276,12;44 677,59;47 203,14;51 669,81;57 171,96;61 469,81;58 671,75;66 697,28;79 463,73;85 494,29
CZ020;Středočeský kraj;7 366,39;8 312;9 768,36;9 667,74;10 527,55;11 626,58;13 576,08;15 735,98;17 950,25;16 242,51;17 261,33;18 718,03;18 612,94;17 961,78;18 239,69;19 625,81;21 180,44;23 483,02;25 114,35;28 086,79;26 226,77;29 091,23;33 943,37;37 757,12
CZ031;Jihočeský kraj;3 872,81;4 296,97;4 886,22;4 859,59;5 249,77;6 046,18;6 735,27;7 067,4;8 116,59;7 595,41;8 014,97;8 264,57;8 285,54;8 061,96;7 844,82;8 340,5;8 678,04;9 661,01;10 426,54;11 215,76;10 958,45;12 073,55;14 278,41;16 154
CZ032;Plzeňský kraj;3 382,47;3 835,78;4 376,44;4 488,16;5 042,45;5 530,58;6 384,6;6 303,12;7 565,63;7 302,11;7 873,3;8 270,47;7 902,63;8 020,25;7 990,62;8 508,89;8 932,28;9 786,75;10 533,74;11 088,5;10 653,18;11 824,8;13 412,44;15 300,6
CZ041;Karlovarský kraj;1 712,68;1 859,65;2 123,05;2 139,66;2 226,72;2 470,09;2 669;2 834,25;3 326,16;3 149,11;3 229,67;3 327,37;3 208,72;3 128,71;3 019,47;3 127,34;3 245,09;3 544,46;3 720,11;3 889,57;3 658,02;3 945,35;4 605,18;5 217,83
CZ042;Ústecký kraj;4 461,13;4 913,53;5 600,38;5 796,22;6 213,36;7 071,43;7 918,25;8 611,75;9 938,08;9 509,48;9 670,23;9 886,73;9 738,84;9 348,53;9 073;9 905,74;9 954,69;10 796,69;11 434,11;12 469,09;11 708,24;13 057;15 739,2;17 457,97
CZ051;Liberecký kraj;2 573,11;2 880,99;3 254,95;3 049,64;3 256,75;3 852,83;4 275,71;4 554,34;5 108,33;4 654,46;5 040,61;5 284,74;5 223,76;5 148,44;5 137,77;5 474,06;5 730,57;6 304,63;6 794,79;7 258,92;6 972,03;7 494,11;8 488,05;9 570,14
CZ052;Královéhradecký kraj;3 378,25;3 752,71;4 184,72;4 176,1;4 533,12;5 064,03;5 561,72;6 194,31;7 099,47;6 683,81;7 067,56;7 365,25;7 217,99;7 136,62;7 048,98;7 616,88;8 118,85;9 114,05;9 773,68;10 542,59;10 273,89;11 177,74;12 502,93;14 251,33
CZ053;Pardubický kraj;2 847,19;3 193,95;3 636,94;3 671,4;3 929,47;4 358,25;5 022,69;5 634,96;6 356,82;5 829,63;6 253,18;6 730,14;6 242,28;6 174,5;6 209,41;6 639,1;7 003,61;7 802,83;8 427,35;8 917,37;8 898,07;9 536,28;11 375,7;12 632,86
CZ063;Kraj Vysočina;2 821,3;3 298,11;3 735,38;3 745,6;3 969,49;4 512,68;5 089,66;5 665,03;6 274,05;5 879,89;6 185,17;6 606,87;6 602,79;6 458,99;6 396,45;6 712,21;7 049,99;7 765,09;8 196;8 873,26;8 884,64;9 891,75;11 321,19;13 058,75
CZ064;Jihomoravský kraj;6 779,58;7 657,25;8 762,97;8 971,17;9 656,48;10 923,4;12 330,21;14 093,99;16 855,54;15 400,83;16 513,57;17 499,65;17 356,58;17 451,22;16 788,15;18 118,99;18 730,99;20 479,02;22 701,38;24 433,42;24 170,79;27 338,03;31 345,91;34 586,87
CZ071;Olomoucký kraj;3 351,68;3 724,19;4 116,34;4 198,66;4 596,51;5 021,75;5 536,13;6 146,26;7 142,25;6 606,29;7 125,15;7 574,76;7 455,3;7 250,22;7 200,07;7 753,69;8 167,33;9 054,45;9 773,08;10 463,88;10 257,98;11 415,32;13 127,53;14 482,58
CZ072;Zlínský kraj;3 197,46;3 614,92;4 104,56;4 145,67;4 398,02;5 058,46;5 798,21;6 135,56;7 619,89;6 984,6;7 343,83;7 759,31;7 576,25;7 478,06;7 609,07;8 027;8 396,06;9 207,96;9 765,34;10 554,47;10 088,7;11 055,61;12 596,06;14 129,38
CZ080;Moravskoslezský kraj;6 492,64;7 311,18;8 240,2;8 307,18;9 363,4;11 092,13;12 233,51;13 678,39;15 859,99;14 146,21;15 214,55;16 258,18;16 034,92;15 072,89;15 157,91;15 999,45;16 754,79;18 068,97;19 672,97;20 143,25;18 888,13;21 414,23;24 777,1;27 292,07
EE001;Põhja-Eesti;3 544,37;4 043,61;4 578,54;5 163,63;5 865,93;6 735,91;8 196,28;9 715,22;9 749,29;8 612,26;8 831,18;10 288,41;11 325,21;12 043,12;12 809,97;13 189,2;14 001,39;15 337,53;16 420,92;17 477,96;17 308,32;19 033,51;22 150,09;23 574,69
EE004;Lääne-Eesti;564,44;636,15;683,74;728,64;810,78;985,63;1 145,59;1 416,94;1 401,63;1 082,74;1 321,01;1 313,95;1 364,66;1 389,3;1 359,67;1 453,49;1 593,63;1 664,08;1 807,56;2 077,95;1 996,63;2 231,58;2 587,82;2 685,25
EE008;Lõuna-Eesti;1 089,88;1 231,4;1 381,57;1 564,61;1 688,62;2 000,94;2 339,99;2 924,82;3 088,04;2 643,36;2 564,78;2 828,09;3 015,3;3 186,92;3 458,4;3 692,46;3 874,41;4 244,85;4 717,82;5 234,47;5 219,95;6 085,36;6 762,5;7 093,7
EE009;Kesk-Eesti;452,49;490,14;559,01;597,5;662,19;730,93;865,86;1 104,33;1 054,8;801,29;889,61;997,37;1 067,29;1 069,45;1 212,06;1 259,67;1 287,08;1 463,76;1 581,17;1 802,53;1 689,88;1 935,33;2 181,43;2 219,28
EE00A;Kirde-Eesti;520,45;580,82;622;692,33;752,11;892,02;1 023,44;1 240,85;1 325,15;992,89;1 135,19;1 314,04;1 314,1;1 474,44;1 525,49;1 416,06;1 432,45;1 605,92;1 911;1 879,15;1 644,51;2 170,46;2 760,97;2 614,87
ES111;A Coruña;13 937,8;14 938,8;16 277,5;17 430,5;18 770,9;20 386,2;21 987,7;23 913,1;24 947,8;24 535,9;24 892,2;24 350,7;23 406,1;23 402,5;23 270,8;24 557,8;25 451,5;26 097,8;27 211,9;27 819,4;25 501,4;27 529,8;30 969,7;:
ES112;Lugo;4 271,6;4 632,3;4 808;5 126,8;5 470,7;6 123,9;6 571,8;6 903,4;7 032,3;6 744;6 993,4;6 999,3;6 882,1;6 921,1;7 112;7 495,9;7 472,9;7 458,9;7 769;7 822,9;6 945,1;7 637,5;8 636,2;:
ES113;Ourense;3 797,8;4 168,2;4 520,8;4 765,6;4 962,1;5 320,1;5 688,6;5 985,8;6 252,4;5 936,7;6 119,6;6 174;6 065,9;5 948,5;5 918,5;6 092,2;6 317,4;6 517,8;6 785,2;7 138,9;6 420,4;7 262,7;7 946,2;:
ES114;Pontevedra;11 432,2;12 290,2;12 834,5;13 816,8;15 046,1;16 125,1;17 712,2;19 203,4;20 021,5;19 036,5;18 782,1;18 292,9;17 667,2;17 766,7;18 110;18 864,7;19 322,2;20 556,3;20 883,4;21 720,8;20 140,3;21 957,5;23 813,8;:
